"event_key","date","series","title","city","country","event_format","event_site","sessionize_url","event_repo","demo_url"
"ss566","2016-11-26","SQL Saturday","SQL Saturday 566 Parma 2016","Parma","IT","in-person","https://sqlsaturday.com/2016-11-26-SQLSat-0566",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-saturday-566-parma-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-saturday-566-parma-2016/demos"
"wpc2016","2016-11-30","WPC","WPC 2016","Milano","IT","in-person","https://web.archive.org/web/20161205074002/http://www.wpc2016.it/Events/Agenda",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/wpc-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/wpc-2016/demos"
"sidtd2017","2017-02-01","SID","Technical Cloud Day 2017","Milano","IT","in-person","https://web.archive.org/web/20170624213704/http://technicalcloudday.it/2017",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/technical-cloud-day-2017","https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/technical-cloud-day-2017/demos"
"ss589","2017-02-25","SQL Saturday","SQL Saturday 589 Pordenone 2017","Pordenone","IT","in-person","https://sqlsaturday.com/2017-02-25-SQLSat-0589",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/sql-saturday-589-pordenone-2017","https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/sql-saturday-589-pordenone-2017/demos"
"sid2017","2017-06-14","SID","Server Infrastructure Days 2017","Milano","IT","in-person","http://sidconference.com/2017/agenda.aspx",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/server-infrastructure-days-2017","https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/server-infrastructure-days-2017/demos"
"ss675","2017-11-18","SQL Saturday","SQL Saturday 675 Parma 2017","Parma","IT","in-person","https://sqlsaturday.com/2017-11-18-SQLSat-0675",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/sql-saturday-675-parma-2017","https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/sql-saturday-675-parma-2017/demos"
"wpc2017","2017-11-28","WPC","WPC 2017","Milano","IT","in-person","https://web.archive.org/web/20171202045207/http://www.wpc2017.it/cms/it-IT/Agenda",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/wpc-2017","https://github.com/ghotz/Presentations/tree/master/2015-2019/2017/wpc-2017/demos"
"ss707","2018-02-17","SQL Saturday","SQL Saturday 707 Pordenone 2018","Pordenone","IT","in-person","https://sqlsaturday.com/2018-02-17-SQLSat-0707",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-707-pordenone-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-707-pordenone-2018/demos"
"dlwks1802","2018-02-22","DotNetLiguria Workshop","Workshop Sicurezza DotNetLiguria","Genova","IT","in-person",,,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/workshop-sicurezza-dotnetliguria","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/workshop-sicurezza-dotnetliguria/demos"
"xe201804","2018-04-20","XE Events","XE SQL & NoSQL Night","Venezia","IT","in-person","https://www.xedotnet.org/eventi/sql-vs-nosql-night",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/xe-sql-nosql-night","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/xe-sql-nosql-night/demos"
"gabvr2018","2018-04-21","Global Azure","Global Azure Bootcamp Verona 2018","Verona","IT","in-person","http://gab2018vr.eventbrite.it","https://sessionize.com/GAB2018VR/","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/global-azure-bootcamp-verona-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/global-azure-bootcamp-verona-2018/demos"
"ss728","2018-05-19","SQL Saturday","SQL Saturday 728 Catania 2018","Catania","IT","in-person","https://sqlsaturday.com/2018-05-19-SQLSat-0728",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-728-catania-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-728-catania-2018/demos"
"psitvg18","2018-09-12","PASS Italian VG","PASS Italian Virtual Group 2018-09",,,"virtual","https://web.archive.org/web/20210105034201/https://globalitalian.pass.org/Meeting-Archive",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/pass-italian-virtual-group-2018-09","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/pass-italian-virtual-group-2018-09/demos"
"xeod2018","2018-09-15","XE Events","XE One Day - Good Code","Dolo","IT","in-person","https://www.xedotnet.org/eventi/one-day-good-code",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/xe-one-day-good-code","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/xe-one-day-good-code/demos"
"as2018pn","2018-10-06","Azure Saturday","Azure Saturday Pordenone 2018","Pordenone","IT","in-person","https://azuresatpn2018.eventbrite.it","https://sessionize.com/azuresatpn2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/azure-saturday-pordenone-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/azure-saturday-pordenone-2018/demos"
"ss777","2018-11-24","SQL Saturday","SQL Saturday 777 Parma 2018","Parma","IT","in-person","https://sqlsaturday.com/2018-11-24-SQLSat-0777",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-777-parma-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/sql-saturday-777-parma-2018/demos"
"wpc2018","2018-11-26","WPC","WPC 2018","Milano","IT","in-person","https://web.archive.org/web/20190822013338/https://wpc2018.it/cms/it-IT/Speakers","https://sessionize.com/wpc2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/wpc-2018","https://github.com/ghotz/Presentations/tree/master/2015-2019/2018/wpc-2018/demos"
"ss829","2019-02-23","SQL Saturday","SQL Saturday 829 Pordenone 2019","Pordenone","IT","in-person","https://sqlsaturday.com/2019-02-23-SQLSat-0829",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-saturday-829-pordenone-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-saturday-829-pordenone-2019/demos"
"sst2019","2019-04-06","SQL Start","SQL Start 2019","Ancona","IT","in-person","https://web.archive.org/web/20190717065917/https://www.sqlstart.it/2019/Sessions","https://sessionize.com/sql-start-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-start-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-start-2019/demos"
"gabmi2019","2019-04-27","Global Azure","Global Azure Bootcamp Milano 2019","Milano","IT","in-person","https://dotnettoscana.org/eventi/global-azure-bootcamp-2019","https://sessionize.com/global-azure-bootcamp-italia","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/global-azure-bootcamp-milano-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/global-azure-bootcamp-milano-2019/demos"
"gabvr2019","2019-04-27","Global Azure","Global Azure Bootcamp Verona 2019","Verona","IT","in-person","https://web.archive.org/web/20190819222814/http://gab2019verona.azurewebsites.net","https://sessionize.com/gabvr2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/global-azure-bootcamp-verona-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/global-azure-bootcamp-verona-2019/demos"
"ss871","2019-05-18","SQL Saturday","SQL Saturday 871 Sardegna 2019","Cagliari","IT","in-person","https://sqlsaturday.com/2019-05-18-SQLSat-0871",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-saturday-871-sardegna-2019","https://github.com/ghotz/Presentations/tree/master/2015-2019/2019/sql-saturday-871-sardegna-2019/demos"
